"","model_spec","sid","method","regression_type","hajek","a","alpha","mean_est","mean_bias","coverage","failures","ase","ese","nsims"
"1","tcor_ocor",9,"dbr","none",FALSE,0,0.1,0.66966888304461,-0.0366774345467938,0.952074391988555,0,0.174480591781944,1.31934662903144,1398
"2","tcor_ocor",9,"dbr","none",FALSE,0,0.5,1.08868371138627,-0.0176626062051299,0.933476394849785,0,0.052891941456668,0.052626044060168,1398
"3","tcor_ocor",9,"dbr","none",FALSE,0,0.9,1.48468510168888,-0.0216612159025257,0.94277539341917,0,0.321189769133854,1.00526973468894,1398
"4","tcor_ocor",9,"dbr","none",FALSE,1,0.1,2.84565979297113,0.139313475379728,0.947067238912732,0,0.403577472599744,3.60253259404256,1398
"5","tcor_ocor",9,"dbr","none",FALSE,1,0.5,3.0899586643217,-0.0163876532696987,0.934191702432046,0,0.0528555388841134,0.0541636393314741,1398
"6","tcor_ocor",9,"dbr","none",FALSE,1,0.9,3.45436205054446,-0.0519842670469434,0.910586552217454,0,0.158627481867304,0.849499266437393,1398
"7","tcor_ocor",9,"ipw","none",FALSE,0,0.1,0.369744946999054,-0.33660137059235,0.0650929899856938,0,0.448453994225208,5.984459355538,1398
"8","tcor_ocor",9,"ipw","none",FALSE,0,0.5,1.09304841641552,-0.0132979011758837,0.943490701001431,0,0.0832150504982511,0.0862318949312527,1398
"9","tcor_ocor",9,"ipw","none",FALSE,0,0.9,1.51738709401005,0.0110407764186435,0.507868383404864,0,1.070025223133,2.84954119704321,1398
"10","tcor_ocor",9,"ipw","none",FALSE,1,0.1,2.04452907992791,-0.661817237663493,0.104434907010014,0,2.66928111035656,28.8287033902451,1398
"11","tcor_ocor",9,"ipw","none",FALSE,1,0.5,3.10763326494029,0.00128694734889029,0.94206008583691,0,0.206941764893841,0.224442522055836,1398
"12","tcor_ocor",9,"ipw","none",FALSE,1,0.9,3.28260899193167,-0.223737325659733,0.351931330472103,0,2.52485703480795,12.993836324341,1398
"13","tcor_ocor",9,"otc","none",FALSE,0,0.1,0.70303602598891,-0.00331029160249396,0.954935622317597,0,0.0871711463554964,0.0862214654168968,1398
